row,col,Well,Flight,Unit,Board,Inhibitor,Supply.I.mA,Time,Parabola,Construct,LED.trigger,Condition,ConversionRate,IntegratedIntensity,RedMeanIntensity,Green_Red_Mean_Intensity,Green_Red_Mean_Intensity_norm_Green_Mean_Intensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV
A,11,A11,2,101,1,None,603.62,2021-06-17 09:40:06,1,CaMPARI2-F391W,1,Pull-up,0.1187986,648.7338,0.9705366,0.76492,0.02170647,36.8215,36.80475,34.0175,1023.2825,1.4225,171.085,1870.95,23757.62
A,11,A11,2,101,2,Gd3+,603.62,2021-06-17 09:40:06,1,CaMPARI2-F391W,1,Pull-up,0.1278051,307.5823,0.7826764,0.6353843,0.01792618,36.8215,36.80475,34.0175,1023.2825,1.4225,171.085,1870.95,23757.62
A,11,A11,2,102,1,Thapsigargin,612.915,2021-06-17 09:40:05,1,CaMPARI2-F391W,1,Pull-up,0.2198872,420.096,0.9062437,0.7606719,0.03436038,36.8255,36.826,34.1055,1069.1525,8.6725,182.95,1910.2675,23740.255
A,11,A11,2,102,2,Flunarizine,612.915,2021-06-17 09:40:05,1,CaMPARI2-F391W,1,Pull-up,0.1003987,479.9767,0.7837826,0.5968111,0.01979232,36.8255,36.826,34.1055,1069.1525,8.6725,182.95,1910.2675,23740.255
A,11,A11,2,103,1,Ruthenium Red,595.1875,2021-06-17 09:40:06,1,CaMPARI2-F391W,1,Pull-up,0.07293876,277.1514,0.7280172,0.6162434,0.02135964,36.814,36.82225,34.05925,1031.575,-0.8125,139.6225,1886.1975,23716.795
A,11,A11,2,103,2,GSK2193874,595.1875,2021-06-17 09:40:06,1,CaMPARI2-F391W,1,Pull-up,0.1952941,452.9757,0.9284569,0.7487183,0.02339301,36.814,36.82225,34.05925,1031.575,-0.8125,139.6225,1886.1975,23716.795
A,11,A11,2,104,1,BAPTA,615.855,2021-06-17 09:40:05,1,CaMPARI2-F391W,1,Pull-up,0.06479432,231.6902,0.8097252,0.6129833,0.02096297,36.803,36.8095,33.87325,1059.205,-15.67,152.785,1873.6925,23589.72
A,11,A11,2,104,2,DMSO,615.855,2021-06-17 09:40:05,1,CaMPARI2-F391W,1,Pull-up,0.1159693,307.3847,0.8183048,0.6311649,0.01574124,36.803,36.8095,33.87325,1059.205,-15.67,152.785,1873.6925,23589.72
A,11,A11,3,101,1,None,NA,NA,1,CaMPARI2-F391W,1,Pull-up,0.08853525,241.1504,0.7298443,0.558874,0.01961809,NA,NA,NA,NA,NA,NA,NA,NA
A,11,A11,3,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,1,Pull-up,0.1001373,274.1686,0.8234331,0.6087635,0.01948813,NA,NA,NA,NA,NA,NA,NA,NA
